,Number of Occurrences,Machine Cost,Event,Method
348,23,150,redo_B,Supervisory+RL
349,9,150,redo_B,Supervisory
350,25,200,redo_B,Supervisory+RL
351,9,200,redo_B,Supervisory
352,27,300,redo_B,Supervisory+RL
353,10,300,redo_B,Supervisory
354,19,400,redo_B,Supervisory+RL
355,6,400,redo_B,Supervisory
356,31,500,redo_B,Supervisory+RL
357,6,500,redo_B,Supervisory
358,30,1000,redo_B,Supervisory+RL
359,16,1000,redo_B,Supervisory
