,mean reward,Machine Cost,method
442,131880,1000,Supervisory+RL
443,81880,1000,Supervisory+RL
444,136890,1000,Supervisory+RL
445,94890,1000,Supervisory+RL
446,125880,1000,Supervisory+RL
447,102890,1000,Supervisory+RL
448,129880,1000,Supervisory+RL
449,136890,1000,Supervisory+RL
450,219060,10,Supervisory
451,189030,10,Supervisory
452,207840,10,Supervisory
453,79140,10,Supervisory
454,158030,10,Supervisory
455,169010,10,Supervisory
456,219040,10,Supervisory
457,179020,10,Supervisory
458,85910,10,Supervisory
459,128110,10,Supervisory
460,218030,10,Supervisory
461,38020,10,Supervisory
462,129040,10,Supervisory
463,178020,10,Supervisory
464,209110,10,Supervisory
465,89040,10,Supervisory
466,179110,10,Supervisory
467,159060,10,Supervisory
468,228970,10,Supervisory
469,219060,10,Supervisory
470,88050,10,Supervisory
471,207070,10,Supervisory
472,139010,10,Supervisory
473,169070,10,Supervisory
474,178960,10,Supervisory
475,139010,10,Supervisory
476,179030,10,Supervisory
477,118070,10,Supervisory
478,79060,10,Supervisory
479,156990,10,Supervisory
480,107970,10,Supervisory
481,179040,10,Supervisory
482,169120,10,Supervisory
483,187830,10,Supervisory
484,229050,10,Supervisory
485,118070,10,Supervisory
486,159100,10,Supervisory
487,158050,10,Supervisory
488,77840,10,Supervisory
489,187970,10,Supervisory
490,169020,10,Supervisory
491,219060,10,Supervisory
492,159070,10,Supervisory
493,219100,10,Supervisory
494,127970,10,Supervisory
495,229040,10,Supervisory
496,159030,10,Supervisory
497,228010,10,Supervisory
498,118980,10,Supervisory
499,99050,10,Supervisory
500,175730,50,Supervisory
501,44680,50,Supervisory
502,171720,50,Supervisory
503,215730,50,Supervisory
504,215570,50,Supervisory
505,175780,50,Supervisory
506,185740,50,Supervisory
507,134180,50,Supervisory
508,75780,50,Supervisory
509,75180,50,Supervisory
510,124430,50,Supervisory
511,234180,50,Supervisory
512,224740,50,Supervisory
513,175830,50,Supervisory
514,166280,50,Supervisory
515,104230,50,Supervisory
516,124320,50,Supervisory
517,155740,50,Supervisory
518,104270,50,Supervisory
519,216090,50,Supervisory
520,145680,50,Supervisory
521,166080,50,Supervisory
522,165880,50,Supervisory
523,165940,50,Supervisory
524,224580,50,Supervisory
525,165520,50,Supervisory
526,74790,50,Supervisory
527,135980,50,Supervisory
528,215940,50,Supervisory
529,154990,50,Supervisory
530,174580,50,Supervisory
531,165940,50,Supervisory
532,195430,50,Supervisory
533,185840,50,Supervisory
534,174430,50,Supervisory
535,204930,50,Supervisory
536,216180,50,Supervisory
537,165630,50,Supervisory
538,116240,50,Supervisory
539,164490,50,Supervisory
540,174740,50,Supervisory
541,215480,50,Supervisory
542,115840,50,Supervisory
543,155620,50,Supervisory
544,144530,50,Supervisory
545,25980,50,Supervisory
546,35840,50,Supervisory
547,105530,50,Supervisory
548,214930,50,Supervisory
549,75680,50,Supervisory
550,180090,100,Supervisory
551,202680,100,Supervisory
552,131770,100,Supervisory
553,190880,100,Supervisory
554,112180,100,Supervisory
555,170090,100,Supervisory
556,80480,100,Supervisory
557,160290,100,Supervisory
558,220380,100,Supervisory
559,202270,100,Supervisory
560,58780,100,Supervisory
561,120770,100,Supervisory
562,212080,100,Supervisory
563,91380,100,Supervisory
564,231080,100,Supervisory
565,221480,100,Supervisory
566,179480,100,Supervisory
567,221480,100,Supervisory
568,171080,100,Supervisory
569,210480,100,Supervisory
570,208180,100,Supervisory
571,221580,100,Supervisory
572,141480,100,Supervisory
573,142580,100,Supervisory
574,129370,100,Supervisory
575,210490,100,Supervisory
576,171870,100,Supervisory
577,119870,100,Supervisory
578,81280,100,Supervisory
579,211870,100,Supervisory
580,151680,100,Supervisory
581,161890,100,Supervisory
582,179070,100,Supervisory
583,111190,100,Supervisory
584,97980,100,Supervisory
585,138880,100,Supervisory
586,180380,100,Supervisory
587,202380,100,Supervisory
588,149190,100,Supervisory
589,211990,100,Supervisory
590,111480,100,Supervisory
591,190990,100,Supervisory
592,142590,100,Supervisory
593,212180,100,Supervisory
594,212080,100,Supervisory
595,161690,100,Supervisory
596,219680,100,Supervisory
597,212700,100,Supervisory
598,221480,100,Supervisory
599,181490,100,Supervisory
600,117740,150,Supervisory
601,207730,150,Supervisory
602,176370,150,Supervisory
603,216130,150,Supervisory
604,208180,150,Supervisory
605,168180,150,Supervisory
606,207890,150,Supervisory
607,208040,150,Supervisory
608,157740,150,Supervisory
609,116670,150,Supervisory
610,38200,150,Supervisory
611,64320,150,Supervisory
612,224340,150,Supervisory
613,198620,150,Supervisory
614,156980,150,Supervisory
615,168040,150,Supervisory
616,168180,150,Supervisory
617,126590,150,Supervisory
618,166730,150,Supervisory
619,175070,150,Supervisory
620,215370,150,Supervisory
621,65470,150,Supervisory
622,165920,150,Supervisory
623,148640,150,Supervisory
624,152330,150,Supervisory
625,114840,150,Supervisory
626,227290,150,Supervisory
627,107430,150,Supervisory
628,98620,150,Supervisory
629,214930,150,Supervisory
630,168340,150,Supervisory
631,167140,150,Supervisory
632,208040,150,Supervisory
633,186070,150,Supervisory
634,148940,150,Supervisory
635,207880,150,Supervisory
636,185770,150,Supervisory
637,199380,150,Supervisory
638,17140,150,Supervisory
639,159080,150,Supervisory
640,115530,150,Supervisory
641,106730,150,Supervisory
642,56280,150,Supervisory
643,174230,150,Supervisory
644,198940,150,Supervisory
645,186830,150,Supervisory
646,58780,150,Supervisory
647,97280,150,Supervisory
648,206820,150,Supervisory
649,197330,150,Supervisory
650,111480,200,Supervisory
651,141880,200,Supervisory
652,42890,200,Supervisory
653,161870,200,Supervisory
654,103880,200,Supervisory
655,205290,200,Supervisory
656,171270,200,Supervisory
657,196090,200,Supervisory
658,92490,200,Supervisory
659,81080,200,Supervisory
660,164290,200,Supervisory
661,211880,200,Supervisory
662,180280,200,Supervisory
663,212490,200,Supervisory
664,194880,200,Supervisory
665,194890,200,Supervisory
666,121290,200,Supervisory
667,-67920,200,Supervisory
668,162490,200,Supervisory
669,204280,200,Supervisory
670,210680,200,Supervisory
671,112080,200,Supervisory
672,213080,200,Supervisory
673,163100,200,Supervisory
674,163870,200,Supervisory
675,154090,200,Supervisory
676,219680,200,Supervisory
677,151290,200,Supervisory
678,92690,200,Supervisory
679,92280,200,Supervisory
680,43680,200,Supervisory
681,38270,200,Supervisory
682,109480,200,Supervisory
683,143280,200,Supervisory
684,171870,200,Supervisory
685,162890,200,Supervisory
686,153080,200,Supervisory
687,213680,200,Supervisory
688,123290,200,Supervisory
689,113280,200,Supervisory
690,141080,200,Supervisory
691,155880,200,Supervisory
692,220890,200,Supervisory
693,144280,200,Supervisory
694,213080,200,Supervisory
695,144090,200,Supervisory
696,210080,200,Supervisory
697,64280,200,Supervisory
698,210880,200,Supervisory
699,114290,200,Supervisory
