,mean reward,Fail Probability,method
338,128090,70,Supervisory+RL
339,219100,70,Supervisory+RL
340,199230,70,Supervisory+RL
341,158140,70,Supervisory+RL
342,199220,70,Supervisory+RL
343,197160,70,Supervisory+RL
344,199220,70,Supervisory+RL
345,199240,70,Supervisory+RL
346,169160,70,Supervisory+RL
347,159230,70,Supervisory+RL
348,165040,70,Supervisory+RL
349,119170,70,Supervisory+RL
350,199260,80,Supervisory+RL
351,199160,80,Supervisory+RL
352,159180,80,Supervisory+RL
353,199230,80,Supervisory+RL
354,159300,80,Supervisory+RL
355,158110,80,Supervisory+RL
356,158150,80,Supervisory+RL
357,199240,80,Supervisory+RL
358,107050,80,Supervisory+RL
359,79270,80,Supervisory+RL
360,104950,80,Supervisory+RL
361,156130,80,Supervisory+RL
362,199220,80,Supervisory+RL
363,199220,80,Supervisory+RL
364,197140,80,Supervisory+RL
365,199230,80,Supervisory+RL
366,169110,80,Supervisory+RL
367,158050,80,Supervisory+RL
368,143970,80,Supervisory+RL
369,199220,80,Supervisory+RL
370,119220,80,Supervisory+RL
371,198200,80,Supervisory+RL
372,197180,80,Supervisory+RL
373,56010,80,Supervisory+RL
374,158190,80,Supervisory+RL
375,199240,80,Supervisory+RL
376,199220,80,Supervisory+RL
377,159270,80,Supervisory+RL
378,199220,80,Supervisory+RL
379,198190,80,Supervisory+RL
380,108100,80,Supervisory+RL
381,198270,80,Supervisory+RL
382,159180,80,Supervisory+RL
383,198170,80,Supervisory+RL
384,199260,80,Supervisory+RL
385,197100,80,Supervisory+RL
386,158190,80,Supervisory+RL
387,199220,80,Supervisory+RL
388,159200,80,Supervisory+RL
389,197160,80,Supervisory+RL
390,148130,80,Supervisory+RL
391,198190,80,Supervisory+RL
392,167080,80,Supervisory+RL
393,101830,80,Supervisory+RL
394,199220,80,Supervisory+RL
395,147070,80,Supervisory+RL
396,199160,80,Supervisory+RL
397,199240,80,Supervisory+RL
398,159250,80,Supervisory+RL
399,109180,80,Supervisory+RL
400,199220,90,Supervisory+RL
401,98040,90,Supervisory+RL
402,168140,90,Supervisory+RL
403,147060,90,Supervisory+RL
404,198190,90,Supervisory+RL
405,199220,90,Supervisory+RL
406,199220,90,Supervisory+RL
407,169170,90,Supervisory+RL
408,146030,90,Supervisory+RL
409,147010,90,Supervisory+RL
410,198150,90,Supervisory+RL
411,209160,90,Supervisory+RL
412,115990,90,Supervisory+RL
413,199220,90,Supervisory+RL
414,217040,90,Supervisory+RL
415,14920,90,Supervisory+RL
416,208140,90,Supervisory+RL
417,207080,90,Supervisory+RL
418,205000,90,Supervisory+RL
419,159220,90,Supervisory+RL
420,198150,90,Supervisory+RL
421,108150,90,Supervisory+RL
422,198210,90,Supervisory+RL
423,207100,90,Supervisory+RL
424,199170,90,Supervisory+RL
425,199190,90,Supervisory+RL
426,155060,90,Supervisory+RL
427,79180,90,Supervisory+RL
428,91890,90,Supervisory+RL
429,205040,90,Supervisory+RL
