,mean reward,Rework Cost,method
672,99030,5000,Supervisory
673,209120,5000,Supervisory
674,219070,5000,Supervisory
675,169150,5000,Supervisory
676,174100,5000,Supervisory
677,228940,5000,Supervisory
678,209160,5000,Supervisory
679,219140,5000,Supervisory
680,119160,5000,Supervisory
681,209010,5000,Supervisory
682,219060,5000,Supervisory
683,119080,5000,Supervisory
684,9030,5000,Supervisory
685,79010,5000,Supervisory
686,159050,5000,Supervisory
687,34030,5000,Supervisory
688,164000,5000,Supervisory
689,219090,5000,Supervisory
690,169060,5000,Supervisory
691,119000,5000,Supervisory
692,128980,5000,Supervisory
693,199190,5000,Supervisory
694,219050,5000,Supervisory
695,124020,5000,Supervisory
696,179000,5000,Supervisory
697,229060,5000,Supervisory
698,69140,5000,Supervisory
699,184010,5000,Supervisory
700,219100,6000,Supervisory
701,213070,6000,Supervisory
702,169000,6000,Supervisory
703,229010,6000,Supervisory
704,119100,6000,Supervisory
705,229120,6000,Supervisory
706,219100,6000,Supervisory
707,189000,6000,Supervisory
708,219120,6000,Supervisory
709,89030,6000,Supervisory
710,229040,6000,Supervisory
711,233020,6000,Supervisory
712,173020,6000,Supervisory
713,169070,6000,Supervisory
714,119070,6000,Supervisory
715,182920,6000,Supervisory
716,232980,6000,Supervisory
717,207000,6000,Supervisory
718,149080,6000,Supervisory
719,176990,6000,Supervisory
720,222970,6000,Supervisory
721,99080,6000,Supervisory
722,229020,6000,Supervisory
723,82850,6000,Supervisory
724,232950,6000,Supervisory
725,102940,6000,Supervisory
726,93060,6000,Supervisory
727,159060,6000,Supervisory
728,69000,6000,Supervisory
729,223010,6000,Supervisory
730,159120,6000,Supervisory
731,159040,6000,Supervisory
732,179020,6000,Supervisory
733,213090,6000,Supervisory
734,229010,6000,Supervisory
735,163010,6000,Supervisory
736,69040,6000,Supervisory
737,213030,6000,Supervisory
738,189040,6000,Supervisory
739,139100,6000,Supervisory
740,179100,6000,Supervisory
741,169000,6000,Supervisory
742,133040,6000,Supervisory
743,209140,6000,Supervisory
744,116960,6000,Supervisory
745,172940,6000,Supervisory
746,129060,6000,Supervisory
747,97080,6000,Supervisory
748,168990,6000,Supervisory
749,213050,6000,Supervisory
750,209120,7000,Supervisory
751,229010,7000,Supervisory
752,239040,7000,Supervisory
753,209140,7000,Supervisory
754,154920,7000,Supervisory
755,219100,7000,Supervisory
756,219110,7000,Supervisory
757,129100,7000,Supervisory
758,181970,7000,Supervisory
759,222020,7000,Supervisory
760,229050,7000,Supervisory
761,207950,7000,Supervisory
762,189040,7000,Supervisory
763,169020,7000,Supervisory
764,212030,7000,Supervisory
765,91960,7000,Supervisory
766,149160,7000,Supervisory
767,154980,7000,Supervisory
768,148930,7000,Supervisory
769,72010,7000,Supervisory
770,214940,7000,Supervisory
771,179060,7000,Supervisory
772,21940,7000,Supervisory
