,mean reward,Machine Cost,method
814,140380,500,Supervisory
815,148380,500,Supervisory
816,125380,500,Supervisory
817,186380,500,Supervisory
818,67890,500,Supervisory
819,177870,500,Supervisory
820,148380,500,Supervisory
821,186880,500,Supervisory
822,185370,500,Supervisory
823,177890,500,Supervisory
824,60880,500,Supervisory
825,80890,500,Supervisory
826,125880,500,Supervisory
827,-26620,500,Supervisory
828,177890,500,Supervisory
829,88400,500,Supervisory
830,122390,500,Supervisory
831,180390,500,Supervisory
832,186380,500,Supervisory
833,120880,500,Supervisory
834,176380,500,Supervisory
835,176870,500,Supervisory
836,118880,500,Supervisory
837,187380,500,Supervisory
838,80880,500,Supervisory
839,136880,500,Supervisory
840,135390,500,Supervisory
841,137370,500,Supervisory
842,34380,500,Supervisory
843,76370,500,Supervisory
844,124370,500,Supervisory
845,190390,500,Supervisory
846,118380,500,Supervisory
847,176880,500,Supervisory
848,181370,500,Supervisory
849,134380,500,Supervisory
850,80880,1000,Supervisory
851,19870,1000,Supervisory
852,150890,1000,Supervisory
853,83870,1000,Supervisory
854,-25130,1000,Supervisory
855,129880,1000,Supervisory
856,96890,1000,Supervisory
857,106890,1000,Supervisory
858,138880,1000,Supervisory
859,84880,1000,Supervisory
860,136890,1000,Supervisory
861,25870,1000,Supervisory
862,102880,1000,Supervisory
863,141880,1000,Supervisory
864,145880,1000,Supervisory
865,135870,1000,Supervisory
866,48890,1000,Supervisory
867,97880,1000,Supervisory
868,-118120,1000,Supervisory
869,80890,1000,Supervisory
870,17880,1000,Supervisory
871,15900,1000,Supervisory
872,69860,1000,Supervisory
873,43880,1000,Supervisory
874,141880,1000,Supervisory
875,98870,1000,Supervisory
876,101870,1000,Supervisory
877,141880,1000,Supervisory
878,81880,1000,Supervisory
879,99880,1000,Supervisory
880,145880,1000,Supervisory
881,95880,1000,Supervisory
882,94870,1000,Supervisory
883,98890,1000,Supervisory
884,107870,1000,Supervisory
885,96880,1000,Supervisory
886,76890,1000,Supervisory
887,142870,1000,Supervisory
888,40880,1000,Supervisory
889,92890,1000,Supervisory
890,141880,1000,Supervisory
891,37880,1000,Supervisory
892,139880,1000,Supervisory
893,100890,1000,Supervisory
894,131870,1000,Supervisory
895,101870,1000,Supervisory
896,145880,1000,Supervisory
897,41870,1000,Supervisory
898,72880,1000,Supervisory
899,81880,1000,Supervisory
