,mean reward,Rejection Type 1 Probability,method
282,199190,60.0,Supervisory+RL
283,198170,60.0,Supervisory+RL
284,197160,60.0,Supervisory+RL
285,198190,60.0,Supervisory+RL
286,199190,60.0,Supervisory+RL
287,199220,60.0,Supervisory+RL
288,198150,60.0,Supervisory+RL
289,196090,60.0,Supervisory+RL
290,199220,60.0,Supervisory+RL
291,197160,60.0,Supervisory+RL
292,199220,60.0,Supervisory+RL
293,199220,60.0,Supervisory+RL
294,157100,60.0,Supervisory+RL
295,159220,60.0,Supervisory+RL
296,199220,60.0,Supervisory+RL
297,198190,60.0,Supervisory+RL
298,198190,60.0,Supervisory+RL
299,199220,60.0,Supervisory+RL
300,159220,70.0,Supervisory+RL
301,145000,70.0,Supervisory+RL
302,199150,70.0,Supervisory+RL
303,199160,70.0,Supervisory+RL
304,159210,70.0,Supervisory+RL
305,39220,70.0,Supervisory+RL
306,119220,70.0,Supervisory+RL
307,154960,70.0,Supervisory+RL
308,199220,70.0,Supervisory+RL
309,158190,70.0,Supervisory+RL
310,156040,70.0,Supervisory+RL
311,199220,70.0,Supervisory+RL
312,147070,70.0,Supervisory+RL
313,207060,70.0,Supervisory+RL
314,104900,70.0,Supervisory+RL
315,199220,70.0,Supervisory+RL
316,119210,70.0,Supervisory+RL
317,199220,70.0,Supervisory+RL
318,145040,70.0,Supervisory+RL
319,157040,70.0,Supervisory+RL
320,197060,70.0,Supervisory+RL
321,199220,70.0,Supervisory+RL
322,159180,70.0,Supervisory+RL
323,158100,70.0,Supervisory+RL
324,199220,70.0,Supervisory+RL
325,169210,70.0,Supervisory+RL
326,145020,70.0,Supervisory+RL
327,199220,70.0,Supervisory+RL
328,158190,70.0,Supervisory+RL
329,114970,70.0,Supervisory+RL
330,159220,70.0,Supervisory+RL
331,207060,70.0,Supervisory+RL
332,159220,70.0,Supervisory+RL
333,199270,70.0,Supervisory+RL
334,199180,70.0,Supervisory+RL
335,159220,70.0,Supervisory+RL
336,208030,70.0,Supervisory+RL
337,199230,70.0,Supervisory+RL
338,129160,70.0,Supervisory+RL
339,198860,70.0,Supervisory+RL
340,209170,70.0,Supervisory+RL
341,158140,70.0,Supervisory+RL
342,199180,70.0,Supervisory+RL
343,158150,70.0,Supervisory+RL
344,142980,70.0,Supervisory+RL
345,159200,70.0,Supervisory+RL
346,106020,70.0,Supervisory+RL
347,208100,70.0,Supervisory+RL
348,208050,70.0,Supervisory+RL
349,79160,70.0,Supervisory+RL
350,157040,80.0,Supervisory+RL
351,199220,80.0,Supervisory+RL
352,147100,80.0,Supervisory+RL
353,199140,80.0,Supervisory+RL
354,155000,80.0,Supervisory+RL
355,168150,80.0,Supervisory+RL
356,147070,80.0,Supervisory+RL
357,115990,80.0,Supervisory+RL
358,154930,80.0,Supervisory+RL
359,175060,80.0,Supervisory+RL
360,144990,80.0,Supervisory+RL
361,147060,80.0,Supervisory+RL
362,108140,80.0,Supervisory+RL
363,198190,80.0,Supervisory+RL
364,147100,80.0,Supervisory+RL
365,169160,80.0,Supervisory+RL
366,198170,80.0,Supervisory+RL
367,117060,80.0,Supervisory+RL
368,65040,80.0,Supervisory+RL
369,157010,80.0,Supervisory+RL
370,147100,80.0,Supervisory+RL
371,198190,80.0,Supervisory+RL
372,209170,80.0,Supervisory+RL
373,93890,80.0,Supervisory+RL
374,90810,80.0,Supervisory+RL
375,207050,80.0,Supervisory+RL
376,119170,80.0,Supervisory+RL
377,149170,80.0,Supervisory+RL
378,198190,80.0,Supervisory+RL
379,158190,80.0,Supervisory+RL
380,157040,80.0,Supervisory+RL
381,166070,80.0,Supervisory+RL
382,199220,80.0,Supervisory+RL
383,199220,80.0,Supervisory+RL
384,168090,80.0,Supervisory+RL
385,112920,80.0,Supervisory+RL
386,129160,80.0,Supervisory+RL
387,198230,80.0,Supervisory+RL
388,208140,80.0,Supervisory+RL
389,148130,80.0,Supervisory+RL
390,128190,80.0,Supervisory+RL
391,158040,80.0,Supervisory+RL
392,198200,80.0,Supervisory+RL
393,126940,80.0,Supervisory+RL
394,10720,80.0,Supervisory+RL
395,156990,80.0,Supervisory+RL
396,197170,80.0,Supervisory+RL
397,197160,80.0,Supervisory+RL
398,199150,80.0,Supervisory+RL
399,159150,80.0,Supervisory+RL
400,199160,90.0,Supervisory+RL
401,197160,90.0,Supervisory+RL
402,199210,90.0,Supervisory+RL
403,159220,90.0,Supervisory+RL
404,198140,90.0,Supervisory+RL
405,198190,90.0,Supervisory+RL
406,199180,90.0,Supervisory+RL
407,199160,90.0,Supervisory+RL
408,159230,90.0,Supervisory+RL
409,159170,90.0,Supervisory+RL
410,198190,90.0,Supervisory+RL
411,159220,90.0,Supervisory+RL
412,197160,90.0,Supervisory+RL
413,159190,90.0,Supervisory+RL
414,199220,90.0,Supervisory+RL
415,198130,90.0,Supervisory+RL
416,198190,90.0,Supervisory+RL
417,159220,90.0,Supervisory+RL
418,158190,90.0,Supervisory+RL
419,198090,90.0,Supervisory+RL
420,199220,90.0,Supervisory+RL
421,199220,90.0,Supervisory+RL
422,199230,90.0,Supervisory+RL
423,199220,90.0,Supervisory+RL
424,156130,90.0,Supervisory+RL
425,158190,90.0,Supervisory+RL
426,199220,90.0,Supervisory+RL
427,199220,90.0,Supervisory+RL
428,156010,90.0,Supervisory+RL
429,159220,90.0,Supervisory+RL
430,199180,90.0,Supervisory+RL
431,157130,90.0,Supervisory+RL
432,198170,90.0,Supervisory+RL
433,198170,90.0,Supervisory+RL
434,198190,90.0,Supervisory+RL
435,159220,90.0,Supervisory+RL
436,199220,90.0,Supervisory+RL
437,198160,90.0,Supervisory+RL
438,159170,90.0,Supervisory+RL
439,119190,90.0,Supervisory+RL
440,198190,90.0,Supervisory+RL
441,199220,90.0,Supervisory+RL
442,158200,90.0,Supervisory+RL
443,157160,90.0,Supervisory+RL
444,198190,90.0,Supervisory+RL
445,119230,90.0,Supervisory+RL
446,198190,90.0,Supervisory+RL
447,198110,90.0,Supervisory+RL
448,198190,90.0,Supervisory+RL
449,199130,90.0,Supervisory+RL
450,209240,10.0,Supervisory
451,149040,10.0,Supervisory
452,228970,10.0,Supervisory
453,219020,10.0,Supervisory
454,229020,10.0,Supervisory
455,178090,10.0,Supervisory
456,238980,10.0,Supervisory
457,189010,10.0,Supervisory
458,229040,10.0,Supervisory
459,229020,10.0,Supervisory
460,229030,10.0,Supervisory
461,228990,10.0,Supervisory
462,229090,10.0,Supervisory
463,219160,10.0,Supervisory
464,168130,10.0,Supervisory
465,179060,10.0,Supervisory
466,229040,10.0,Supervisory
467,218040,10.0,Supervisory
468,227990,10.0,Supervisory
469,149040,10.0,Supervisory
470,128940,10.0,Supervisory
471,208130,10.0,Supervisory
472,228030,10.0,Supervisory
473,229100,10.0,Supervisory
474,139060,10.0,Supervisory
475,188980,10.0,Supervisory
476,189100,10.0,Supervisory
477,169170,10.0,Supervisory
478,159050,10.0,Supervisory
479,247840,10.0,Supervisory
480,227950,10.0,Supervisory
481,178960,10.0,Supervisory
482,209120,10.0,Supervisory
483,189000,10.0,Supervisory
484,227950,10.0,Supervisory
485,169110,10.0,Supervisory
486,79090,10.0,Supervisory
487,229110,10.0,Supervisory
488,219110,10.0,Supervisory
489,219070,10.0,Supervisory
490,228990,10.0,Supervisory
491,247960,10.0,Supervisory
492,199040,10.0,Supervisory
493,238880,10.0,Supervisory
494,128900,10.0,Supervisory
495,217970,10.0,Supervisory
496,138030,10.0,Supervisory
497,239000,10.0,Supervisory
498,159060,10.0,Supervisory
499,209120,10.0,Supervisory
500,138850,20.0,Supervisory
501,118070,20.0,Supervisory
502,135900,20.0,Supervisory
503,219030,20.0,Supervisory
504,139100,20.0,Supervisory
505,147980,20.0,Supervisory
506,159080,20.0,Supervisory
507,219110,20.0,Supervisory
508,186930,20.0,Supervisory
509,237960,20.0,Supervisory
510,129160,20.0,Supervisory
511,127990,20.0,Supervisory
512,158030,20.0,Supervisory
513,219100,20.0,Supervisory
514,189030,20.0,Supervisory
515,159030,20.0,Supervisory
516,209160,20.0,Supervisory
517,229100,20.0,Supervisory
518,169100,20.0,Supervisory
519,188940,20.0,Supervisory
520,179010,20.0,Supervisory
521,219060,20.0,Supervisory
522,107990,20.0,Supervisory
523,187950,20.0,Supervisory
524,219060,20.0,Supervisory
525,179140,20.0,Supervisory
526,147960,20.0,Supervisory
527,209100,20.0,Supervisory
528,78070,20.0,Supervisory
529,159110,20.0,Supervisory
530,229040,20.0,Supervisory
531,167960,20.0,Supervisory
532,189000,20.0,Supervisory
533,238940,20.0,Supervisory
534,209140,20.0,Supervisory
535,148910,20.0,Supervisory
536,189050,20.0,Supervisory
537,127970,20.0,Supervisory
538,139100,20.0,Supervisory
539,229040,20.0,Supervisory
540,208090,20.0,Supervisory
541,227990,20.0,Supervisory
542,198980,20.0,Supervisory
543,138980,20.0,Supervisory
544,236920,20.0,Supervisory
545,219040,20.0,Supervisory
546,219080,20.0,Supervisory
547,89050,20.0,Supervisory
548,179160,20.0,Supervisory
549,229070,20.0,Supervisory
550,149130,30.0,Supervisory
551,218060,30.0,Supervisory
552,119050,30.0,Supervisory
553,219070,30.0,Supervisory
554,168010,30.0,Supervisory
555,159130,30.0,Supervisory
556,176970,30.0,Supervisory
557,109030,30.0,Supervisory
558,218970,30.0,Supervisory
559,178940,30.0,Supervisory
560,178980,30.0,Supervisory
561,137010,30.0,Supervisory
562,178130,30.0,Supervisory
563,27970,30.0,Supervisory
564,169130,30.0,Supervisory
565,236920,30.0,Supervisory
566,127960,30.0,Supervisory
567,169000,30.0,Supervisory
568,229000,30.0,Supervisory
569,209130,30.0,Supervisory
570,219080,30.0,Supervisory
571,129020,30.0,Supervisory
572,129160,30.0,Supervisory
573,128010,30.0,Supervisory
574,159220,30.0,Supervisory
575,127970,30.0,Supervisory
576,69060,30.0,Supervisory
577,169140,30.0,Supervisory
578,48950,30.0,Supervisory
579,219080,30.0,Supervisory
580,79100,30.0,Supervisory
581,217000,30.0,Supervisory
582,178960,30.0,Supervisory
583,219050,30.0,Supervisory
584,159090,30.0,Supervisory
585,237960,30.0,Supervisory
586,208100,30.0,Supervisory
587,238950,30.0,Supervisory
588,219060,30.0,Supervisory
589,179040,30.0,Supervisory
590,157040,30.0,Supervisory
591,158070,30.0,Supervisory
592,189100,30.0,Supervisory
593,228980,30.0,Supervisory
594,99030,30.0,Supervisory
595,167930,30.0,Supervisory
596,158110,30.0,Supervisory
597,77950,30.0,Supervisory
598,169100,30.0,Supervisory
599,176990,30.0,Supervisory
600,169160,40.0,Supervisory
601,226970,40.0,Supervisory
602,166990,40.0,Supervisory
603,187050,40.0,Supervisory
604,159100,40.0,Supervisory
605,168980,40.0,Supervisory
606,187970,40.0,Supervisory
607,228070,40.0,Supervisory
608,167920,40.0,Supervisory
609,149170,40.0,Supervisory
610,129040,40.0,Supervisory
611,158070,40.0,Supervisory
612,177970,40.0,Supervisory
613,99120,40.0,Supervisory
614,135850,40.0,Supervisory
615,119220,40.0,Supervisory
616,138980,40.0,Supervisory
617,219010,40.0,Supervisory
618,168990,40.0,Supervisory
619,227970,40.0,Supervisory
620,159070,40.0,Supervisory
621,238980,40.0,Supervisory
622,99050,40.0,Supervisory
623,228050,40.0,Supervisory
624,129040,40.0,Supervisory
625,219040,40.0,Supervisory
626,99090,40.0,Supervisory
627,126820,40.0,Supervisory
628,128110,40.0,Supervisory
629,169000,40.0,Supervisory
630,128030,40.0,Supervisory
631,167940,40.0,Supervisory
632,119160,40.0,Supervisory
633,209120,40.0,Supervisory
634,118070,40.0,Supervisory
635,159090,40.0,Supervisory
636,169090,40.0,Supervisory
637,9030,40.0,Supervisory
638,118970,40.0,Supervisory
639,157990,40.0,Supervisory
640,129040,40.0,Supervisory
641,67910,40.0,Supervisory
642,118920,40.0,Supervisory
643,117950,40.0,Supervisory
644,119100,40.0,Supervisory
645,67030,40.0,Supervisory
646,119100,40.0,Supervisory
647,177950,40.0,Supervisory
648,107960,40.0,Supervisory
649,118040,40.0,Supervisory
650,56960,50.0,Supervisory
651,159100,50.0,Supervisory
652,159100,50.0,Supervisory
653,109060,50.0,Supervisory
654,157100,50.0,Supervisory
655,179080,50.0,Supervisory
656,159100,50.0,Supervisory
657,227020,50.0,Supervisory
658,169160,50.0,Supervisory
659,169010,50.0,Supervisory
660,169000,50.0,Supervisory
661,187910,50.0,Supervisory
662,57930,50.0,Supervisory
663,219090,50.0,Supervisory
664,218040,50.0,Supervisory
665,169040,50.0,Supervisory
666,159060,50.0,Supervisory
667,109130,50.0,Supervisory
668,209130,50.0,Supervisory
669,119160,50.0,Supervisory
670,59090,50.0,Supervisory
671,129080,50.0,Supervisory
672,227980,50.0,Supervisory
673,227990,50.0,Supervisory
674,104850,50.0,Supervisory
675,159170,50.0,Supervisory
