,mean reward,Rejection Type 1 Probability,method
501,219100,20.0,Supervisory
502,199220,20.0,Supervisory
503,237930,20.0,Supervisory
504,228960,20.0,Supervisory
505,167970,20.0,Supervisory
506,179110,20.0,Supervisory
507,79100,20.0,Supervisory
508,209120,20.0,Supervisory
509,159060,20.0,Supervisory
510,179100,20.0,Supervisory
511,178040,20.0,Supervisory
512,159060,20.0,Supervisory
513,129050,20.0,Supervisory
514,177990,20.0,Supervisory
515,109000,20.0,Supervisory
516,139060,20.0,Supervisory
517,158070,20.0,Supervisory
518,159100,20.0,Supervisory
519,78030,20.0,Supervisory
520,228060,20.0,Supervisory
521,219060,20.0,Supervisory
522,188990,20.0,Supervisory
523,169120,20.0,Supervisory
524,119080,20.0,Supervisory
525,129150,20.0,Supervisory
526,197910,20.0,Supervisory
527,159010,20.0,Supervisory
528,179110,20.0,Supervisory
529,149000,20.0,Supervisory
530,179040,20.0,Supervisory
531,187990,20.0,Supervisory
532,128090,20.0,Supervisory
533,219100,20.0,Supervisory
534,138860,20.0,Supervisory
535,237950,20.0,Supervisory
536,178990,20.0,Supervisory
537,238960,20.0,Supervisory
538,59030,20.0,Supervisory
539,179060,20.0,Supervisory
540,229040,20.0,Supervisory
541,225790,20.0,Supervisory
542,187890,20.0,Supervisory
543,169140,20.0,Supervisory
544,118050,20.0,Supervisory
545,217070,20.0,Supervisory
546,179060,20.0,Supervisory
547,219130,20.0,Supervisory
548,219010,20.0,Supervisory
549,188030,20.0,Supervisory
550,188010,30.0,Supervisory
551,137000,30.0,Supervisory
552,69030,30.0,Supervisory
553,187980,30.0,Supervisory
554,109100,30.0,Supervisory
555,189020,30.0,Supervisory
556,175950,30.0,Supervisory
557,169100,30.0,Supervisory
558,219100,30.0,Supervisory
559,79010,30.0,Supervisory
560,169050,30.0,Supervisory
561,219120,30.0,Supervisory
562,227950,30.0,Supervisory
563,47970,30.0,Supervisory
564,209120,30.0,Supervisory
565,178990,30.0,Supervisory
566,168010,30.0,Supervisory
567,139040,30.0,Supervisory
568,119100,30.0,Supervisory
569,169110,30.0,Supervisory
570,129030,30.0,Supervisory
571,219140,30.0,Supervisory
572,169170,30.0,Supervisory
573,145950,30.0,Supervisory
574,118980,30.0,Supervisory
575,129000,30.0,Supervisory
576,107950,30.0,Supervisory
577,179100,30.0,Supervisory
578,219120,30.0,Supervisory
579,227960,30.0,Supervisory
580,139090,30.0,Supervisory
581,178090,30.0,Supervisory
582,139040,30.0,Supervisory
583,219070,30.0,Supervisory
584,219100,30.0,Supervisory
585,189110,30.0,Supervisory
586,77940,30.0,Supervisory
587,219100,30.0,Supervisory
588,189090,30.0,Supervisory
589,98080,30.0,Supervisory
590,228970,30.0,Supervisory
591,169120,30.0,Supervisory
592,168180,30.0,Supervisory
593,198940,30.0,Supervisory
594,58070,30.0,Supervisory
