,mean reward,Machine Cost,method
420,140200,800,Supervisory+RL
421,100400,800,Supervisory+RL
422,147600,800,Supervisory+RL
423,65600,800,Supervisory+RL
424,136000,800,Supervisory+RL
425,146400,800,Supervisory+RL
426,148000,800,Supervisory+RL
427,144600,800,Supervisory+RL
428,147200,800,Supervisory+RL
429,38000,800,Supervisory+RL
430,140400,800,Supervisory+RL
431,99600,800,Supervisory+RL
432,139400,800,Supervisory+RL
433,139400,800,Supervisory+RL
434,150600,800,Supervisory+RL
435,146400,800,Supervisory+RL
436,73200,800,Supervisory+RL
437,137800,800,Supervisory+RL
438,150800,800,Supervisory+RL
439,149200,800,Supervisory+RL
440,91800,800,Supervisory+RL
441,109400,800,Supervisory+RL
442,144600,800,Supervisory+RL
443,147200,800,Supervisory+RL
444,87200,800,Supervisory+RL
445,101400,800,Supervisory+RL
446,83800,800,Supervisory+RL
447,108000,800,Supervisory+RL
448,159600,800,Supervisory+RL
449,154600,800,Supervisory+RL
450,129100,10,Supervisory
451,227010,10,Supervisory
452,159100,10,Supervisory
453,189030,10,Supervisory
454,219100,10,Supervisory
455,158020,10,Supervisory
456,138980,10,Supervisory
457,168000,10,Supervisory
458,228970,10,Supervisory
459,159040,10,Supervisory
460,119010,10,Supervisory
461,168980,10,Supervisory
462,-1020,10,Supervisory
463,169120,10,Supervisory
464,217040,10,Supervisory
465,177980,10,Supervisory
466,217990,10,Supervisory
467,67940,10,Supervisory
468,119060,10,Supervisory
469,158030,10,Supervisory
470,169040,10,Supervisory
471,139110,10,Supervisory
472,127950,10,Supervisory
473,138000,10,Supervisory
474,179100,10,Supervisory
475,158050,10,Supervisory
476,127980,10,Supervisory
477,179110,10,Supervisory
478,188960,10,Supervisory
479,227950,10,Supervisory
480,109020,10,Supervisory
481,129160,10,Supervisory
482,178950,10,Supervisory
483,158100,10,Supervisory
484,176920,10,Supervisory
485,229110,10,Supervisory
486,169070,10,Supervisory
487,218110,10,Supervisory
488,179070,10,Supervisory
489,187920,10,Supervisory
490,228990,10,Supervisory
491,159130,10,Supervisory
492,117980,10,Supervisory
493,229040,10,Supervisory
494,118070,10,Supervisory
495,219100,10,Supervisory
496,119070,10,Supervisory
497,237910,10,Supervisory
498,129000,10,Supervisory
499,118960,10,Supervisory
500,160000,100,Supervisory
501,47200,100,Supervisory
502,209500,100,Supervisory
503,151000,100,Supervisory
504,120500,100,Supervisory
505,120000,100,Supervisory
506,219800,100,Supervisory
507,161600,100,Supervisory
508,100000,100,Supervisory
509,119100,100,Supervisory
510,211600,100,Supervisory
511,150600,100,Supervisory
512,220100,100,Supervisory
513,128100,100,Supervisory
514,160600,100,Supervisory
515,149600,100,Supervisory
516,201200,100,Supervisory
517,219800,100,Supervisory
518,208100,100,Supervisory
519,229200,100,Supervisory
520,169000,100,Supervisory
521,111000,100,Supervisory
522,166800,100,Supervisory
523,59100,100,Supervisory
524,66900,100,Supervisory
525,161300,100,Supervisory
526,119800,100,Supervisory
527,211000,100,Supervisory
528,49300,100,Supervisory
529,159100,100,Supervisory
530,101600,100,Supervisory
531,168900,100,Supervisory
532,150600,100,Supervisory
533,98800,100,Supervisory
534,171000,100,Supervisory
535,210600,100,Supervisory
536,221000,100,Supervisory
537,161600,100,Supervisory
538,150600,100,Supervisory
539,148500,100,Supervisory
540,176900,100,Supervisory
541,227000,100,Supervisory
542,149700,100,Supervisory
543,119100,100,Supervisory
544,159100,100,Supervisory
545,160200,100,Supervisory
546,158100,100,Supervisory
547,210200,100,Supervisory
548,200000,100,Supervisory
549,159800,100,Supervisory
550,149800,200,Supervisory
551,159600,200,Supervisory
552,157800,200,Supervisory
553,150200,200,Supervisory
554,200400,200,Supervisory
555,122600,200,Supervisory
556,156000,200,Supervisory
557,101200,200,Supervisory
558,150600,200,Supervisory
559,88000,200,Supervisory
560,92400,200,Supervisory
561,201600,200,Supervisory
562,-22200,200,Supervisory
563,199800,200,Supervisory
564,211000,200,Supervisory
565,196800,200,Supervisory
566,160600,200,Supervisory
567,218200,200,Supervisory
568,212200,200,Supervisory
569,219400,200,Supervisory
570,196400,200,Supervisory
571,150600,200,Supervisory
572,-59800,200,Supervisory
573,158600,200,Supervisory
574,159600,200,Supervisory
575,201800,200,Supervisory
576,100000,200,Supervisory
577,70800,200,Supervisory
578,102000,200,Supervisory
579,161200,200,Supervisory
580,201600,200,Supervisory
581,161000,200,Supervisory
582,159400,200,Supervisory
583,199800,200,Supervisory
584,103200,200,Supervisory
585,142600,200,Supervisory
586,78000,200,Supervisory
587,201400,200,Supervisory
588,150000,200,Supervisory
589,200400,200,Supervisory
590,161200,200,Supervisory
591,87800,200,Supervisory
592,101200,200,Supervisory
593,211000,200,Supervisory
594,81400,200,Supervisory
595,86400,200,Supervisory
596,88800,200,Supervisory
597,112600,200,Supervisory
598,101000,200,Supervisory
599,115600,200,Supervisory
600,160000,300,Supervisory
601,48500,300,Supervisory
602,100300,300,Supervisory
603,198300,300,Supervisory
604,110900,300,Supervisory
605,110300,300,Supervisory
606,160600,300,Supervisory
607,183300,300,Supervisory
608,99300,300,Supervisory
609,116000,300,Supervisory
610,147100,300,Supervisory
611,186800,300,Supervisory
612,193000,300,Supervisory
