,mean reward,Rejection Type 1 Cost,method
442,218150,40000,Supervisory+RL
443,168130,40000,Supervisory+RL
444,138130,40000,Supervisory+RL
445,198190,40000,Supervisory+RL
446,207120,40000,Supervisory+RL
447,128030,40000,Supervisory+RL
448,209170,40000,Supervisory+RL
449,208190,40000,Supervisory+RL
450,129070,20000,Supervisory
451,138040,20000,Supervisory
452,129110,20000,Supervisory
453,135850,20000,Supervisory
454,178040,20000,Supervisory
455,226980,20000,Supervisory
456,177980,20000,Supervisory
457,169080,20000,Supervisory
458,176930,20000,Supervisory
459,139040,20000,Supervisory
460,228000,20000,Supervisory
461,219140,20000,Supervisory
462,229000,20000,Supervisory
463,178020,20000,Supervisory
464,189020,20000,Supervisory
465,188980,20000,Supervisory
466,189060,20000,Supervisory
467,119150,20000,Supervisory
468,99100,20000,Supervisory
469,179000,20000,Supervisory
470,188010,20000,Supervisory
471,228020,20000,Supervisory
472,209110,20000,Supervisory
473,228010,20000,Supervisory
474,169050,20000,Supervisory
475,179100,20000,Supervisory
476,189020,20000,Supervisory
477,187980,20000,Supervisory
478,239040,20000,Supervisory
479,217040,20000,Supervisory
480,219100,20000,Supervisory
481,139110,20000,Supervisory
482,139040,20000,Supervisory
483,228940,20000,Supervisory
484,229090,20000,Supervisory
485,138110,20000,Supervisory
486,179150,20000,Supervisory
487,178050,20000,Supervisory
488,139040,20000,Supervisory
489,139060,20000,Supervisory
490,209120,20000,Supervisory
491,89140,20000,Supervisory
492,139040,20000,Supervisory
493,218070,20000,Supervisory
494,179060,20000,Supervisory
495,118030,20000,Supervisory
496,79060,20000,Supervisory
497,139070,20000,Supervisory
498,219040,20000,Supervisory
499,97970,20000,Supervisory
500,117950,22500,Supervisory
501,175420,22500,Supervisory
502,176540,22500,Supervisory
503,139040,22500,Supervisory
504,139070,22500,Supervisory
505,122970,22500,Supervisory
506,229110,22500,Supervisory
507,84040,22500,Supervisory
508,168030,22500,Supervisory
509,91870,22500,Supervisory
510,116720,22500,Supervisory
511,175470,22500,Supervisory
512,229000,22500,Supervisory
513,219080,22500,Supervisory
514,124000,22500,Supervisory
515,44010,22500,Supervisory
516,219010,22500,Supervisory
517,84080,22500,Supervisory
518,139040,22500,Supervisory
519,96550,22500,Supervisory
520,136510,22500,Supervisory
521,175570,22500,Supervisory
522,125640,22500,Supervisory
523,176510,22500,Supervisory
524,115630,22500,Supervisory
525,227990,22500,Supervisory
526,169170,22500,Supervisory
527,95510,22500,Supervisory
528,219100,22500,Supervisory
529,99080,22500,Supervisory
530,186540,22500,Supervisory
531,144460,22500,Supervisory
532,156620,22500,Supervisory
533,146480,22500,Supervisory
534,176610,22500,Supervisory
535,136590,22500,Supervisory
536,166510,22500,Supervisory
537,166570,22500,Supervisory
538,176500,22500,Supervisory
539,129140,22500,Supervisory
540,219120,22500,Supervisory
541,218020,22500,Supervisory
542,186450,22500,Supervisory
543,209060,22500,Supervisory
544,176610,22500,Supervisory
545,219030,22500,Supervisory
546,126530,22500,Supervisory
547,229020,22500,Supervisory
