,mean reward,Approval Type 1 Cost,method
583,209100,30000,Supervisory
584,178950,30000,Supervisory
585,223960,30000,Supervisory
586,168020,30000,Supervisory
587,209050,30000,Supervisory
588,159050,30000,Supervisory
589,214080,30000,Supervisory
590,29140,30000,Supervisory
591,79040,30000,Supervisory
592,214040,30000,Supervisory
593,114060,30000,Supervisory
594,209090,30000,Supervisory
595,163930,30000,Supervisory
596,174040,30000,Supervisory
597,154050,30000,Supervisory
598,204120,30000,Supervisory
599,75870,30000,Supervisory
600,181530,30000,Supervisory
601,166620,30000,Supervisory
602,221560,30000,Supervisory
603,123010,30000,Supervisory
604,180570,30000,Supervisory
605,174080,30000,Supervisory
606,181540,30000,Supervisory
607,221470,30000,Supervisory
608,214100,30000,Supervisory
609,180470,30000,Supervisory
610,66540,30000,Supervisory
611,181510,30000,Supervisory
612,166650,30000,Supervisory
613,84120,30000,Supervisory
614,180590,30000,Supervisory
615,214100,30000,Supervisory
616,99090,30000,Supervisory
617,213070,30000,Supervisory
618,214100,30000,Supervisory
619,155570,30000,Supervisory
620,141560,30000,Supervisory
621,214050,30000,Supervisory
622,181460,30000,Supervisory
623,156560,30000,Supervisory
624,65510,30000,Supervisory
625,174090,30000,Supervisory
626,166560,30000,Supervisory
627,174120,30000,Supervisory
628,116580,30000,Supervisory
629,162980,30000,Supervisory
630,59000,30000,Supervisory
631,180470,30000,Supervisory
632,164000,30000,Supervisory
633,149110,30000,Supervisory
634,174100,30000,Supervisory
635,156600,30000,Supervisory
636,101600,30000,Supervisory
637,123010,30000,Supervisory
638,149170,30000,Supervisory
639,221520,30000,Supervisory
640,126600,30000,Supervisory
641,164050,30000,Supervisory
642,221600,30000,Supervisory
643,213130,30000,Supervisory
644,124040,30000,Supervisory
645,61450,30000,Supervisory
646,156570,30000,Supervisory
647,134130,30000,Supervisory
648,131490,30000,Supervisory
649,106580,30000,Supervisory
650,209160,30000,Supervisory
651,89000,30000,Supervisory
652,218100,30000,Supervisory
653,219020,30000,Supervisory
654,179080,30000,Supervisory
655,119020,30000,Supervisory
656,229090,30000,Supervisory
657,118030,30000,Supervisory
658,219040,30000,Supervisory
659,68880,30000,Supervisory
660,108050,30000,Supervisory
661,69080,30000,Supervisory
662,219140,30000,Supervisory
663,108990,30000,Supervisory
664,99040,30000,Supervisory
665,238980,30000,Supervisory
666,129000,30000,Supervisory
667,187970,30000,Supervisory
668,128070,30000,Supervisory
669,189040,30000,Supervisory
670,229060,30000,Supervisory
671,89000,30000,Supervisory
672,117970,30000,Supervisory
673,237890,30000,Supervisory
674,179040,30000,Supervisory
675,159070,30000,Supervisory
676,59100,30000,Supervisory
677,219040,30000,Supervisory
678,159100,30000,Supervisory
679,-1040,30000,Supervisory
680,189010,30000,Supervisory
681,219040,30000,Supervisory
682,98980,30000,Supervisory
683,168090,30000,Supervisory
684,188030,30000,Supervisory
685,179020,30000,Supervisory
686,199030,30000,Supervisory
687,219020,30000,Supervisory
688,129080,30000,Supervisory
689,179060,30000,Supervisory
690,159100,30000,Supervisory
691,159100,30000,Supervisory
692,169000,30000,Supervisory
693,228940,30000,Supervisory
694,149200,30000,Supervisory
695,179110,30000,Supervisory
696,149040,30000,Supervisory
697,158030,30000,Supervisory
698,108140,30000,Supervisory
699,229010,30000,Supervisory
700,224110,30000,Supervisory
701,224050,30000,Supervisory
702,236540,30000,Supervisory
703,172910,30000,Supervisory
704,134000,30000,Supervisory
705,248990,30000,Supervisory
706,174090,30000,Supervisory
707,174050,30000,Supervisory
708,236550,30000,Supervisory
709,236500,30000,Supervisory
710,134000,30000,Supervisory
711,120470,30000,Supervisory
712,121620,30000,Supervisory
713,224100,30000,Supervisory
714,121540,30000,Supervisory
715,236520,30000,Supervisory
716,174050,30000,Supervisory
717,121590,30000,Supervisory
718,111510,30000,Supervisory
719,236500,30000,Supervisory
720,249040,30000,Supervisory
721,171620,30000,Supervisory
722,109090,30000,Supervisory
723,173960,30000,Supervisory
724,161560,30000,Supervisory
725,224070,30000,Supervisory
726,171630,30000,Supervisory
727,235450,30000,Supervisory
728,184080,30000,Supervisory
729,224060,30000,Supervisory
730,224030,30000,Supervisory
731,173010,30000,Supervisory
732,116510,30000,Supervisory
733,173010,30000,Supervisory
734,210590,30000,Supervisory
735,132940,30000,Supervisory
736,224010,30000,Supervisory
737,92040,30000,Supervisory
738,184090,30000,Supervisory
739,59140,30000,Supervisory
740,236500,30000,Supervisory
741,111490,30000,Supervisory
742,184110,30000,Supervisory
743,211620,30000,Supervisory
744,134090,30000,Supervisory
745,235410,30000,Supervisory
746,198180,30000,Supervisory
747,235430,30000,Supervisory
748,184060,30000,Supervisory
749,21460,30000,Supervisory
750,164050,30000,Supervisory
751,139050,30000,Supervisory
752,214130,30000,Supervisory
753,244100,30000,Supervisory
754,229060,30000,Supervisory
755,244080,30000,Supervisory
756,148130,30000,Supervisory
757,174100,30000,Supervisory
758,124060,30000,Supervisory
759,63890,30000,Supervisory
760,113960,30000,Supervisory
761,177980,30000,Supervisory
762,62960,30000,Supervisory
763,84060,30000,Supervisory
764,109160,30000,Supervisory
765,167940,30000,Supervisory
766,124110,30000,Supervisory
767,179000,30000,Supervisory
768,164100,30000,Supervisory
769,243020,30000,Supervisory
770,229110,30000,Supervisory
771,109160,30000,Supervisory
772,139030,30000,Supervisory
773,123130,30000,Supervisory
774,123990,30000,Supervisory
775,189100,30000,Supervisory
776,227010,30000,Supervisory
777,185970,30000,Supervisory
778,229080,30000,Supervisory
779,177930,30000,Supervisory
780,119220,30000,Supervisory
781,229070,30000,Supervisory
782,228030,30000,Supervisory
783,189140,30000,Supervisory
784,229100,30000,Supervisory
785,193980,30000,Supervisory
