,mean reward,Rework Cost,method
323,152130,7000,Supervisory+RL
324,179110,7000,Supervisory+RL
325,219100,7000,Supervisory+RL
326,174980,7000,Supervisory+RL
327,212110,7000,Supervisory+RL
328,205000,7000,Supervisory+RL
329,176880,7000,Supervisory+RL
330,54010,7000,Supervisory+RL
331,202060,7000,Supervisory+RL
332,198010,7000,Supervisory+RL
333,169200,7000,Supervisory+RL
334,159190,7000,Supervisory+RL
335,169190,7000,Supervisory+RL
336,209160,7000,Supervisory+RL
337,219060,7000,Supervisory+RL
338,205100,7000,Supervisory+RL
339,159070,7000,Supervisory+RL
340,209220,7000,Supervisory+RL
341,212070,7000,Supervisory+RL
342,219170,7000,Supervisory+RL
343,169110,7000,Supervisory+RL
344,219100,7000,Supervisory+RL
345,112070,7000,Supervisory+RL
346,129160,7000,Supervisory+RL
347,169160,7000,Supervisory+RL
348,169170,7000,Supervisory+RL
349,205040,7000,Supervisory+RL
350,169160,8000,Supervisory+RL
351,171070,8000,Supervisory+RL
352,211120,8000,Supervisory+RL
353,201130,8000,Supervisory+RL
354,201140,8000,Supervisory+RL
355,103080,8000,Supervisory+RL
356,161090,8000,Supervisory+RL
357,119170,8000,Supervisory+RL
358,159220,8000,Supervisory+RL
359,143110,8000,Supervisory+RL
360,211070,8000,Supervisory+RL
361,138920,8000,Supervisory+RL
362,159140,8000,Supervisory+RL
363,193100,8000,Supervisory+RL
364,161130,8000,Supervisory+RL
365,211010,8000,Supervisory+RL
366,159120,8000,Supervisory+RL
367,143090,8000,Supervisory+RL
368,161090,8000,Supervisory+RL
369,161180,8000,Supervisory+RL
370,113000,8000,Supervisory+RL
371,89160,8000,Supervisory+RL
372,219000,8000,Supervisory+RL
373,209190,8000,Supervisory+RL
374,141100,8000,Supervisory+RL
375,161030,8000,Supervisory+RL
376,119070,8000,Supervisory+RL
377,209120,8000,Supervisory+RL
378,211030,8000,Supervisory+RL
379,209120,8000,Supervisory+RL
380,149160,8000,Supervisory+RL
381,141130,8000,Supervisory+RL
382,219060,8000,Supervisory+RL
383,209160,8000,Supervisory+RL
384,111190,8000,Supervisory+RL
385,151080,8000,Supervisory+RL
386,149180,8000,Supervisory+RL
387,161070,8000,Supervisory+RL
388,159220,8000,Supervisory+RL
389,161070,8000,Supervisory+RL
390,229070,8000,Supervisory+RL
391,201130,8000,Supervisory+RL
392,209190,8000,Supervisory+RL
393,133050,8000,Supervisory+RL
394,151030,8000,Supervisory+RL
395,201170,8000,Supervisory+RL
396,143080,8000,Supervisory+RL
397,209160,8000,Supervisory+RL
398,159180,8000,Supervisory+RL
399,159110,8000,Supervisory+RL
400,220030,9000,Supervisory+RL
401,180090,9000,Supervisory+RL
402,219100,9000,Supervisory+RL
